Title,Date,Price
"
Ps4 Fat
","
Friday, 20:25
","
Br 27,000
"
"
Ps4 Slim
","
Yesterday, 15:22
","
Br 26,500
"
"
Hp Notebook Ryzen 7
","
Today, 14:47
","
Br 64,500
"
"
Samsung Galaxy S10 5G
","
Today, 14:45
","
Br 32,513
"
"
Samsung Galaxy S10 5G
","
Today, 14:45
","
Br 32,513
"
"
LG up77 UHD TV
","
Today, 14:45
","
Br 155,000
"
"
Samsung Galaxy S10 5G
","
Today, 14:43
","
Br 29,513
"
"
Samsung Galaxy S10 5G
","
Today, 14:43
","
Br 29,513
"
"
Galaxy M32
","
Today, 14:43
","
Br 19,500
"
"
Mi TV Stick
","
Today, 14:41
","
Br 6,513
"
"
Mi TV Stick
","
Today, 14:41
","
Br 6,513
"
"
JBL Tune 510 Wireless Headphone
","
Today, 14:40
","
Br 4,500
"
